name,link,year,title,Topic,Data,Game Goal,Game Mechanics,Failure Trigger,Visualization Strategy,Failure Forms,Structural Limits,Triggering Conditions,Constraints Visualizing,Failure Encoding,Action Adjustment,Exploratory Learning,Interpretive Reframing
U.S. Vaccination Timeline,https://www.reuters.com/graphics/HEALTH-CORONAVIRUS/VACCINE-CALCULATOR/rlgvdgewwpo/,2021,When could everyone in the U.S. get vaccinated?,COVID-19 vaccination progress and herd-immunity projection,CDC vaccination data and U.S. population totals,Estimate when herd immunity can be reached,Adjust daily vaccination doses and compare rollout speeds,Slow vaccination delays the projected completion time,Timelines and progress projections show vaccination pace affecting herd-immunity timing,Mitigable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Parameter Tuning,,perspective shifting
Birth Control Measures,https://www.volkskrant.nl/kijkverder/2018/wereldbevolking/?referrer=https%3A%2F%2Ft.co%2FOAoltOfopb&referrer=https%3A%2F%2Fidvxlab.com%2F,2018,Kan geboorte­beperking het wereld­wijde voedsel­probleem oplossen?,Global population growth and fertility control,"World population projections, regional fertility rates, and fertility-policy assumptions",Reduce future global population size,Adjust fertility rates or intervention intensity across regions,Persistently high fertility leads to excessive population growth,Population projection curves and regional comparisons show long-term fertility-control effects,Mitigable Failure,bounded value range,decision-driven,explicit visual marks,Comparative Performance,Parameter Tuning,,
Who’s in the Crossword?,https://pudding.cool/2020/11/crossword/,2020,Who’s in the Crossword? ,Representational bias in crossword puzzles,"Saul Pwanson’s crossword corpus, manual demographic labels, and U.S. Census categories",Complete the puzzle and experience uneven knowledge barriers,Use two sets of clues for the same answers,Lack of specific cultural knowledge prevents successful solving,Crossword grids and demographic charts show representational bias in puzzle clues,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Difficulty Mapping,,Hypothesis testing,perspective shifting
Abortion Mazes,https://pudding.cool/2024/10/abortion-mazes/,2024,Abortion Mazes,Regional barriers to abortion access in the U.S.,Guttmacher Institute state-level abortion-policy data and news-report-based personal stories,Navigate the maze to reach abortion care,Select a state or personal story and complete the corresponding maze,More restrictive policies make the maze harder to complete,Policy restrictions mapped to maze complexity show abortion-access barriers,Mitigable Failure,Pre-determined Outcome,Systemic,explicit visual marks,Difficulty Mapping,,Iterative Experimentation,perspective shifting
Inevitable Super Rich ,https://pudding.cool/2022/12/yard-sale/?,2023,Why the super rich are inevitable,Wealth concentration and market inequality,Yard-sale model simulations and redistribution parameters,Preserve or increase wealth through trading,"Conduct coin-flip trades based on proportional stakes, with optional redistribution",Repeated random trades intensify wealth gaps,Animated wealth distributions show concentration and compare redistribution scenarios,Inevitable Failure,Pre-determined Outcome,Systemic,Post-hoc consequences,Evaluative Feedback,,Iterative Experimentation,
People of the Pandemic,https://peopleofthepandemicgame.com/,2022,People of the Pandemic,Pandemic transmission and community cooperation,"U.S. ZIP-code population data, hospital data, and players’ weekly behavior choices",Slow transmission and avoid health-system collapse,Multiple players choose weekly outings while the system simulates spread,Excessive collective outings increase infections and exhaust hospital beds,Community simulation and hospital-capacity feedback show collective-behavior consequences,Mitigable Failure,bounded value range,"decision-driven,externally-driven",Post-hoc consequences,Comparative Performance,Parameter Tuning,,
The Wheel of Inequality,https://www.eldiario.es/sociedad/segregados-rueda-desigualdad-ver-barrio-nivel-estudios_1_10703668.html,2024,The Wheel of Inequality,Intergenerational inequality and social mobility in Spain,"Census data, economic indicators, and education records",Explore life chances under different social backgrounds,"Select family background, education, and regional conditions","Background, school, and regional constraints limit upward mobility",Wheel metaphor and life-path diagrams show how background shapes opportunity,Mitigable Failure,conficting metrics,decision-driven,Post-hoc consequences,Comparative Performance,Strategy Reconfiguration,,Criteria Reweighting
51 Sprints,https://thefwa.com/cases/51-sprints-the-human-race?,2016,51 Sprints,Identity and fairness in Olympic sprinting,"Olympic 100-meter finals data, historical footage, and athlete identity variables",Help a selected athlete win gold,Select a race lineup and adjust identity-related variables with the Equaliser,The selected athlete fails to win,Race-track simulation and rankings show identity factors affecting results,Avoidable Failure,bounded value range,decision-driven,Post-hoc consequences,Evaluative Feedback,Strategy Reconfiguration,,perspective shifting
Educate Your Child ,https://gabriellelamarrlemee.github.io/thesis-simulation/,2018,Educate Your Child,Educational opportunity and school segregation,"Chicago school, income, race/ethnicity, school-zone, and housing-policy data",Choose a relatively suitable school for a child,"Set family identity, residence conditions, and school choices","School quality, distance, and diversity cannot be jointly optimized","School maps, scores, and choice paths show quality-distance-diversity trade-offs",Inevitable Failure,conficting metrics,decision-driven,Post-hoc consequences,Comparative Performance,Strategy Reconfiguration,,perspective shifting
The Nest Egg Game,https://www.wsj.com/graphics/nest-egg-game/,2019,The Nest Egg Game: Your Life in 10 Financial Milestones,Youth finance and retirement savings,"BLS, New York Fed, Census, NCES, FHFA, and related cost data",Keep the “nest egg” viable across life stages,Make financial decisions at multiple life milestones,Debt remains or savings are insufficient by retirement,"Life-stage cards and asset changes show debt, savings, and retirement risk",Avoidable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Strategy Reconfiguration,,
HeartSaver,https://projects.propublica.org/graphics/heartsaver,2013,HeartSaver,Emergency cardiac care and medical resources,"CMS, New York State health data, NYC planning data, and Google Directions API data",Save as many cardiac patients as possible,Assign patients to different hospitals for treatment,Long travel time or low hospital quality reduces survival,"Urban maps, hospital ratings, and survival feedback show emergency-care allocation outcomes",Mitigable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Action Sequence Modification,Iterative Experimentation,
The En-ROADS,https://en-roads.climateinteractive.org/scenario.html?v=26.1.0,2026,The En-ROADS Climate Solutions Simulator En-ROADS,Climate governance and mitigation policy,"En-ROADS energy, economy, land-use, emissions, and climate-model data",Keep global temperature rise at a lower level,"Adjust energy mix, carbon pricing, technology investment, and land-use parameters",Insufficient policy combinations leave warming too high,"Temperature curves, emissions charts, and policy panels show mitigation-choice effects",Mitigable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Parameter Tuning,,
The C-ROADS,https://c-roads.climateinteractive.org/scenario.html?v=26.1.0,2026,The C-ROADS Climate Change Policy Simulator,National climate pledges and global climate targets,"C-ROADS regional emissions, national pledges, and climate-model data",Test whether pledges can meet climate goals,Adjust emissions pathways for countries or regions,Collective mitigation is insufficient to meet temperature targets,Regional emissions curves and temperature feedback show cumulative climate-pledge effects,Mitigable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Parameter Tuning,,
The Fiscal Ship,https://fiscalship.org/,2016,The Fiscal Ship,U.S. federal budget and debt,"CBO, OMB, SSA, and Tax Policy Center fiscal estimates",Stabilize federal debt under selected value priorities,Choose combinations of tax and spending policies,Debt fails to decline to a sustainable level,Debt trajectories and budget charts show fiscal consequences of policy choices,Inevitable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Parameter Tuning,,Criteria Reweighting
Virus Growth,https://codap.concord.org/releases/latest/static/dg/zh-Hans/cert/index.html?di=https://concord-consortium.github.io/codap-data-interactives/Virus/Virus.html,,Virus Growth,Virus transmission and prevention,Simulated virus-transmission data,Understand infection spread and intervention effects,Observe or adjust transmission processes and collect experimental data,Infection continues to spread and control measures remain ineffective,Agent-based simulation and case trends show local contacts scaling into outbreaks,Inevitable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Parameter Tuning,,
Parable of the Polygons,https://ncase.me/polygons/,2014,Parable of the Polygons,Social segregation and individual bias,Schelling segregation-model simulations,Observe how mild individual bias produces segregation,Move dissatisfied agents and adjust bias thresholds,Local preferences accumulate into high spatial segregation,Grid distributions and segregation-index feedback show local bias producing group separation,Avoidable Failure,conficting metrics,decision-driven,Implicit indicators,Evaluative Feedback,Action Sequence Modification,Iterative Experimentation,
Salubrious Guess,https://dl.acm.org/doi/abs/10.1145/1978942.1979193,2011,Salubrious Guess,,,,,,,,,,,,,,
